stt,sample_id,ngu_canh,phat_bieu,nhan_dinh,ghi_chu
13,viwikifc_dev_2039,"Ngư nghiệp: Trước đây ngư dân và tàu bè Việt Nam vẫn tự do đánh cá và đi lại và trong vùng biển chung quanh quần đảo Hoàng Sa. Nhưng kể từ khi Trung Quốc tấn công lực lượng đồn trú của hải quân Việt Nam Cộng Hòa và chiếm quần đảo này ngày 19 tháng 1 năm 1974, thì các hoạt động mang tính dân sự của tàu thuyền Việt Nam trong vùng biển Hoàng Sa có thể bị lực lượng hải quân và cảnh sát biển Trung Quốc đe dọa. Việc này đã dẫn đến một số sự kiện mà trước đây chưa hề xảy ra khi Việt Nam còn kiểm soát quần đảo Hoàng Sa. Điển hình là ngày 18 đến 20, tháng 12 năm 2004, hải quân Trung Quốc dùng tàu tuần dương tông vào các tàu đánh cá Việt Nam khiến cho 23 ngư dân Đà Nẵng và Quảng Ngãi chết, 6 người bị thương, đồng thời bắt giữ 9 tàu đánh cá và 80 ngư dân khác. Ngày 27 tháng 6 năm 2006, 18 chiếc tàu đánh cá của Việt Nam neo đậu tại phía bắc quần đảo Hoàng Sa để tránh bão, thì bị một chiếc tàu lạ tấn công, cướp bóc, và xua đuổi không cho họ ở lại tránh bão. Ngày 27 tháng 6 năm 2007, một tàu đánh cá Việt Nam bị Trung Quốc tấn công làm 6 người bị thương, khi họ vào tránh gió ở đảo Phú Lâm thuộc quần đảo Hoàng Sa. Sáng 27 tháng 9 năm 2009, 17 tàu của ngư dân Việt Nam (13 chiếc của xã An Hải, Lý Sơn; 4 chiếc của Bình Châu) giương cờ trắng chạy vào đảo Hữu Nhật tránh bão, đã bị lính Trung Quốc nổ súng xua đuổi, rồi bị cướp, đánh đòn, tra tấn",Việc này đã xuất hiện rất nhiều lần khi Việt Nam làm chủ Hoàng Sa.,noi_tai,
14,viwikifc_train_10106,"Khi trở về nước năm 1932, Bảo Đại đã mong muốn cải cách xã hội Việt Nam nhưng phong trào này đã chết yểu bởi sự đối địch với các quan Thượng thư của ông như Phạm Quỳnh và Ngô Đình Khả, cũng như sự chống đối của giới bảo thủ và chính phủ bảo hộ Pháp. Nhà vua nản lòng sớm, chuyển sang tiêu khiển bằng bơi thuyền và săn bắn. Trước thực tế nhà Nguyễn không còn khả năng chống Pháp, nhiều đảng phái cách mạng được tổ chức để đánh đuổi người Pháp. Việt Nam chi bộ của hội Á Tế Á Áp bức Nhược tiểu Dân tộc do Nguyễn Ái Quốc thành lập ở Quảng Đông. Năm 1926, Tân Việt Cách mạng Đảng hoạt động ở Hà Tĩnh và Sài Gòn. Năm 1927, Phạm Tuấn Tài, Hoàng Phạm Trân, Nguyễn Thái Học lập ra Việt Nam Quốc dân Đảng. Năm 1928, Tạ Thu Thâu và Nguyễn An Ninh lập Đệ tứ Quốc tế. Năm 1930, Việt Nam Cách mạng Đồng chí Hội đổi ra Đông Dương Cộng sản Đảng.",Nhiều đảng phái cách mạng được tổ chức để cùng với nhà Nguyễn đánh đuổi người Pháp.,noi_tai,
15,viwikifc_train_4199,"Thái Bình Dương mỗi một chữ xuất hiện trước nhất vào niên đại 20 thế kỉ XVI, do nhà hàng hải trưởng quốc tịch Bồ Đào Nha Fernão de Magalhães và đội thuyền tàu của ông đặt tên đầu tiên. Ngày 20 tháng 9 năm 1519, nhà hàng hải Magalhães chỉ huy dẫn đạo đội thám hiểm do 270 thủy thủ hợp thành khởi hành từ Tây Ban Nha, vượt qua Đại Tây Dương, họ xông pha sóng gió hãi hùng, chịu hết gian khổ, rồi đến được mũi phía nam ở châu Nam Mĩ, tiến vào một eo biển. Eo biển này về sau đặt tên theo Magalhães vô cùng hiểm trở và ác liệt, đến chỗ đó là sóng lớn gió dữ và bãi cạn đá ngầm nguy hiểm. Chiến đấu hăng hái gian khổ trải qua 38 ngày, đội thuyền tàu cuối cùng đã đến được mũi phía tây của eo biển Magalhães, nhưng mà lúc đó đội thuyền tàu chỉ còn lại ba chiếc tàu, thuyền viên của đội cũng đã mất đi một nửa.",Đội thám hiểm phải chiến đấu hăng hái mới chiếm được eo biển này.,noi_tai,
16,viwikifc_train_4822,"Tháng 6-1946, khi quân Quốc dân đảng Trung Quốc phải rút về nước, ông sang Trung Quốc tìm gặp cựu hoàng Bảo Đại đang ở Hồng Kông. Ông cùng Bảo Đại bàn mưu tính kế khôi phục lại ngôi báu nhà Nguyễn, có cả Cousseau, chỉ huy mật thám Pháp tham dự.","Tháng 6-1946, khi quân đảng Quốc dân Trung Quốc phải rút quân về, ông đã đến Trung Quốc và gặp cựu hoàng Bảo Đại.",khong,
17,viwikifc_train_887,"Trở về (Giáp Ngọ 1834), ông được bổ làm Tư vụ bộ Công. Sau đó, vì chán chốn quan trường, ông cáo bệnh xin về hưu ở làng Thanh Mai, thuộc huyện Tiên Phong (nay là xã Vạn Thắng, huyện Ba Vì, Hà Nội). Ở đây, ông làm nghề dạy học và soạn sách cho đến khi mất.","Không lâu sau, ông vì quá chán chốn quan trường nên đã các bệnh xin về hưu, thời gian sau ông đã cho ra đời rất nhiều tác phẩm kể lại cuộc đời ông. Ông ở tại làng Thanh Mai, nay chính là Hà Nội.",ngoai_lai,
18,viwikifc_dev_1096,"Nước đại dương luôn luôn chuyển động do tác động của thủy triều, gây ra bởi lực hấp dẫn của Mặt Trăng và Mặt Trời đối với Trái Đất, sóng và hải lưu do tác dụng của gió. Các dòng bù trừ phát sinh do sự thiếu hụt của nước. Chẳng hạn nước của Địa Trung Hải bị bốc hơi rất mạnh, ít sông suối đổ vào, do đó nước có độ mặn cao và có tỉ trọng lớn. Nước ở dưới sâu chảy từ Địa Trung Hải ra Đại Tây Dương tạo ra sự thiếu hụt, vì thế một hải lưu bề mặt lại chảy từ Đại Tây Dương vào Địa Trung Hải để bù vào chỗ thiếu hụt đó.",Lực hấp dẫn của Mặt Trăng là nhân tố quan trọng nhất tác động tới sự chuyển động của nước đại dương.,ngoai_lai,
19,viwikifc_train_3818,"Ấn Độ nhận được khoảng 80% tổng lượng mưa hàng năm vào mùa hè. Ở khu vực này, mưa đóng vai trò quan trọng đến mức nhiều nền văn minh tại đây đã diệt vong khi không được mùa mưa cung cấp đủ lượng mưa. Trong suốt thời tiền sử, mùa mưa ở Ấn Độ đã trải qua nhiều biến động to lớn, bao gồm một giai đoạn có lượng mưa lớn từ năm 33.500–32.500 BP; một giai đoạn khô hạn từ năm 26.000–23.500 BC; và một giai đoạn mưa yếu từ năm 17.000–15.000 BP,","Mưa đóng vai trò quan trọng đến mức nhiều nền văn minh tại Ấn Độ đã diệt vong khi không được mùa mưa cung cấp đủ lượng mưa, hiện nay thì Ấn Độ nhận được khoảng 80% tổng lượng mưa hàng năm vào hè.",khong,
20,viwikifc_train_7263,"Trong những chuyến khảo cổ sau này, người ta đã tìm ra khoảng 50.000 cổ vật nằm rải rác trên Con đường tơ lụa. Chúng là những hiện vật vô giá về lịch sử thương mại thời xưa. Con đường tơ lụa với những chuyến hàng đầy ắp đã trở thành dĩ vãng, những dấu chân lạc đà giờ đã bị cát bụi sa mạc xóa nhòa nhưng cái tên ""Con đường tơ lụa"" sẽ còn mãi trong lịch sử như một cây cầu kết nối ngoại thương giữa hai nền văn minh Trung Quốc và La Mã.",Dấu vết Con đường tơ lụa đã trở thành dĩ vãng nhưng cái tên đó sẽ còn mãi trong lịch sử như một cây cầu kết nối ngoại thương giữa hai nền văn minh Trung Quốc và La Mã đã tồn tại từ thế kỷ 2 TCN.,ngoai_lai,
21,viwikifc_train_14476,"Con đường tơ lụa to lớn bắt đầu từ Phúc Châu, Hàng Châu, Bắc Kinh, Trường An (Trung Quốc) qua Mông Cổ, Ấn Độ, Afghanistan, Kazakhstan, Iran, Iraq, Thổ Nhĩ Kỳ, Hy Lạp, xung quanh vùng Địa Trung Hải và đến tận toàn châu Âu. Con đường cũng đi đến cả Triều Tiên và Nhật Bản (Và thậm chí là ở 2 miền Bắc-Nam Việt Nam). Nó có chiều dài khoảng 4.000 dặm, hay là 6.437 km.","Con đường tơ lụa là con đường buôn bán nổi tiếng từ hàng nghìn năm, cũng đi đến cả Triều Tiên, Nhật Bản và thậm chí là ở 2 miền Bắc-Nam Việt Nam.",ngoai_lai,
22,viwikifc_train_11391,"Để mở rộng ngành, các sòng bạc được hợp pháp hóa vào năm 2005, nhưng chỉ có hai giấy phép cho ""Khu nghỉ mát Tích hợp"" được ban hành, để kiểm soát việc rửa tiền và nghiện. Singapore cũng quảng bá chính nó như là một trung tâm du lịch y tế: khoảng 200.000 người nước ngoài tìm kiếm sự chăm sóc y tế ở đó mỗi năm. Các dịch vụ y tế của Singapore nhằm phục vụ ít nhất một triệu bệnh nhân nước ngoài hàng năm và tạo ra doanh thu 3 tỷ đô la. Vào năm 2015, Lonely Planet và The New York Times liệt kê Singapore là điểm đến tốt thứ 6 trên thế giới để tham quan.","Năm 2015, Singapore trở thành cường quốc của Đông Nam Á.",ngoai_lai,
23,viwikifc_test_510,"Thủ đô Bình Nhưỡng là nơi không thể bỏ qua ở Triều Tiên. Nơi đây gây ấn tượng bởi nhiều tượng đài lớn, những tòa nhà cao tầng và đường phố khang trang. Khác với hình dung của du khách, Bình Nhưỡng cũng có những nhà hàng phục vụ đồ ăn, thức uống theo phong cách phương Tây.","Đối đầu với thành phố Kaesong, Bình Nhưỡng gây ấn tượng với người nhìn bằng nhiều tượng đài lớn và đường phố khang trang.",ngoai_lai,
24,viwikifc_train_15291,"Ngôn ngữ quốc gia của Việt Nam là tiếng Việt, một ngôn ngữ thanh điệu thuộc ngữ hệ Nam Á và là tiếng mẹ đẻ của người Việt. Hiến pháp không quy định chữ viết quốc gia hay văn tự chính thức. Văn ngôn với chữ Hán ghi âm Hán-Việt được dùng trong các văn bản hành chính trước thế kỷ 20. Chữ Nôm dựa trên chất liệu chữ Hán để ghi âm thuần Việt hình thành từ khoảng thế kỷ 7 tới thế kỷ 13, kết hợp với chữ Hán thành bộ chữ viết phổ thông cho tiếng Việt trước khi Việt Nam bị Thực dân Pháp xâm lược. Các tác phẩm thời kỳ trung đại của Việt Nam đều được ghi bằng chữ Hán và chữ Nôm, tiêu biểu có Bình Ngô Đại Cáo của Nguyễn Trãi viết bằng chữ Hán hay Truyện Kiều của Nguyễn Du sáng tác bằng chữ Nôm. Chữ Quốc ngữ là chữ Latinh được các nhà truyền giáo Dòng Tên như Francisco de Pina và Alexandre de Rhodes phát triển vào thế kỷ 17 dựa trên bảng chữ cái của tiếng Bồ Đào Nha, sau này được phổ biến thông qua các quy định bảo hộ cùng tiếng Pháp của chính quyền thuộc địa thời Pháp thuộc. Các nhóm sắc tộc thiểu số ở Việt Nam nói một số ngôn ngữ ví dụ như tiếng Tày, tiếng Nùng, tiếng Mường, tiếng H'Mông, tiếng Chăm, và tiếng Khmer. Các hệ ngôn ngữ ở Việt Nam bao gồm Nam Á, Kra-Dai, Hán-Tạng, H'Mông-Miền và Nam Đảo. Một số ngôn ngữ ký hiệu Việt Nam cũng được hình thành tại các thành phố lớn.",Chữ Latinh còn gọi là chữ La Mã.,ngoai_lai,
25,viwikifc_train_1105,"Hang lớn nhất là Hang Sơn Đoòng (hang động tự nhiên lớn nhất thế giới), Đỉnh núi cao nhất là đỉnh Everest (cao nhất thế giới), điểm thấp nhất là sụt lún Biển Chết (thấp nhất thế giới), cao nguyên cao nhất là cao nguyên Thanh Tạng (cao nhất thế giới), dòng sông dài nhất là Trường Giang (dài thứ ba thế giới), hồ lớn nhất là Biển Caspi (lớn nhất thế giới), hồ sâu nhất là hồ Baikal (sâu nhất thế giới), sa mạc lớn nhất là sa mạc Arabi (lớn thứ năm thế giới). Vượt qua kinh độ và vĩ độ rộng vô cùng, chênh lệch thời gian đông - tây đạt đến từ 11 đến 13 giờ đồng hồ. Vùng đất phía tây và châu Âu nối liền lẫn nhau, hình thành lục địa Âu – Á - lục địa lớn nhất trên Trái Đất. Trừ đất liền ra, diện tích đảo lớn và đảo cồn của châu Á chừng 2,7 triệu kilômét vuông, chỉ đứng  sau Bắc Mỹ.",Bắc Mỹ là có diện tích đảo lớn và đảo cồn lớn nhất thế giới và đứng thứ hai sau Bắc Mỹ chính là châu Á.,khong,
26,viwikifc_dev_291,"Bước vào thế kỷ XXI, Nhật Bản ưu tiên hơn đến những chính sách quốc gia để gia tăng vị thế về chính trị và quân sự trên trường quốc tế. Nâng cấp Cục phòng vệ quốc gia thành Bộ quốc phòng vào tháng 1 năm 2007. Tuy nhiên, Nhật Bản tiếp tục phải đối mặt với tình trạng kinh tế trì trệ, và nghiêm trọng hơn là việc tỷ lệ thanh niên kết hôn và sinh đẻ giảm mạnh, khiến nạn lão hóa dân số đã tới mức báo động.",Cục phòng vệ có tiền thân của nó là sở dân quân.,ngoai_lai,
27,viwikifc_dev_497,"Các môn thể thao đại chúng tại Singapore gồm có bóng đá, bóng rổ, cricket, bơi lội, đi thuyền, bóng bàn và cầu lông. Hầu hết người Singapore sống trong các khu chung cư gần các tiện ích như hồ bơi, bên ngoài có sân bóng rổ và khu thể thao trong nhà. Các môn thể thao dưới nước phổ biến tại đảo quốc, trong đó có đi thuyền, chèo thuyền kayak và lướt ván. Lặn biển là một môn thể thao tiêu khiển phổ biến khác, đảo Hantu đặc biệt nổi tiếng với các rạn san hô phong phú. Giải bóng đá vô địch quốc gia của Singapore mang tên S-League, được hình thành vào năm 1994, bao gồm 9 đội tham dự, trong đó có 2 đội nước ngoài. Singapore bắt đầu tổ chức một vòng thi đấu của giải vô địch công thức 1 thế giới, Singapore Grand Prix, vào năm 2008. Singapore tổ chức Thế vận hội trẻ kỳ đầu tiên, vào năm 2010.",Bóng đá tại Singapore đạt chức vô địch năm 2003.,ngoai_lai,
28,viwikifc_train_9323,"Phía Việt Nam cho rằng các chính quyền của họ từ thế kỷ 16-18 (thời kỳ nhà Hậu Lê) đã tổ chức khai thác trên quần đảo hàng năm kéo dài theo mùa (6 tháng). Đến đầu thế kỷ XIX, nhà Nguyễn (Việt Nam) với tư cách nhà nước đã tiếp tục thực thi chủ quyền trên quần đảo. Các hoạt động thực thi chủ quyền của nhà Nguyễn được bắt đầu có thể muộn hơn các triều đại Trung Hoa nhưng với mật độ mau hơn trong thế kỷ XIX với các năm 1803, 1816, 1821, 1835, 1836, 1837, 1838, 1845, 1847 và 1856. Không chỉ là kiểm tra chớp nhoáng trên các đảo hoang nhỏ vô chủ rồi về, mà hoạt động chủ quyền cấp nhà nước của nhà Nguyễn từ năm 1816 bao gồm cả việc khảo sát đo đạc thủy trình, đo vẽ bản đồ dài ngày, xây xong sau nhiều ngày quốc tự trên đảo thuộc quần đảo Hoàng Sa, cắm bia chủ quyền và cứu hộ hàng hải quốc tế. Cuối thế kỷ 19, do suy yếu và mất nước bởi Đế quốc Pháp xâm lược, hoạt động chủ quyền của nhà Nguyễn đối với quần đảo Hoàng Sa và quần đảo Trường Sa cũng do đó mà bị gián đoạn.",Việc vẽ bản đồ của nhà Nguyễn nhằm mục đích cứu hộ trên biển dễ dàng hơn.,noi_tai,
29,viwikifc_train_16084,"Năm 1442 thời Lê Thái Tông, “Nguyễn Trực, Nguyễn Như Đỗ, Lương Như Hộc ba người đỗ tiến sĩ cập đệ; bọn Trần Văn Huy 7 người đỗ tiến sĩ xuất thân; bọn Ngô Sĩ Liên 23 người đỗ tiến sĩ đồng xuất thân…”.",Thời Trần Thái Tông thường tổ chức nhiều kì thi để tuyển chọn nhân tài cho đất nước.,ngoai_lai,
30,viwikifc_train_5961,"Tư sản cho rằng không có luật kinh tế theo vốn cần tái đầu tư vào việc mở rộng sản xuất, điều đó phụ thuộc vào khả năng sinh lời, kỳ vọng thị trường và nhận thức về rủi ro đầu tư. Những tuyên bố như vậy chỉ giải thích những trải nghiệm chủ quan của các nhà đầu tư và bỏ qua những thực tế khách quan có ảnh hưởng đến những ý kiến ​​như vậy. Như Marx tuyên bố về khối lượng thứ hai của Das Kapital, tái tạo đơn giản chỉ tồn tại nếu biến và vốn thặng dư được thực hiện bởi nhà sản xuất phương tiện sản xuất - chính xác bằng vốn liên tục của nhà sản xuất các mặt hàng tiêu thụ (p. 524). Sự cân bằng như vậy dựa trên các giả định khác nhau, chẳng hạn như nguồn cung lao động không đổi (không có tăng trưởng dân số). Sự tích lũy không hàm ý một sự thay đổi cần thiết trong tổng độ lớn của giá trị được tạo ra, nhưng có thể chỉ đơn giản đề cập đến một sự thay đổi trong thành phần của một ngành công nghiệp (tr. 514).",Việc tái tạo còn giúp nhận thức được những nguy cơ tiềm ẩn trong đầu tư.,noi_tai,
31,viwikifc_test_1771,"Nói đúng ra, vốn đã tích lũy chỉ khi thu nhập lợi nhuận thực hiện đã được tái đầu tư vào tài sản vốn. Như đã đề xuất trong tập đầu tiên của Marx 'Das Kapital, quá trình tích lũy vốn trong sản xuất có ít nhất bảy yếu tố riêng biệt nhưng được liên kết:",Vốn đã tích lũy là nguồn làm giàu cho tư bản chủ nghĩa.,ngoai_lai,
